#FOR THE FULL HISTORICAL DATA VISIT : https://ork.ad
time,open,high,low,close,volume
2024-07-04,12211.68,12294.34,12158.8,12167.34,26679
2024-07-05,12167.34,12214.28,11933.24,11997.75,40903
2024-07-08,11997.75,12065.88,11965.37,11968.88,30086
2024-07-09,11968.88,12144.42,11876.4,12094.92,39163
2024-07-10,12094.92,12125.87,12022.85,12071.37,28657
2024-07-11,12071.37,12156.45,12010.94,12138.45,35170
2024-07-12,12138.45,12197.09,12101.06,12155.09,29932
2024-07-15,12155.09,12231.41,12124.4,12165.41,27344
2024-07-16,12165.41,12211.03,12125.5,12198.01,35953
2024-07-17,12198.01,12297.8,12131.79,12263.81,38715
2024-07-18,12263.81,12330.91,12213.9,12241.91,35890
2024-07-19,12241.91,12349.78,12157.26,12309.76,44548
2024-07-22,12309.76,12372.5,12147.45,12214.47,36774
2024-07-23,12214.47,12242.41,12011.38,12028.39,30097
2024-07-24,12028.39,12075.04,11942.01,11979.03,35006
2024-07-25,11979.03,11985.56,11795.04,11892.55,47764
2024-07-26,11892.55,11922.24,11758.21,11837.71,43383
2024-07-29,11837.71,11854.16,11735.65,11752.16,34132
2024-07-30,11752.16,11752.16,11590.39,11650.91,33369
2024-07-31,11650.91,11906.72,11637.67,11853.2,46568
2024-08-01,11853.2,11880.5,11686.46,11704.96,33404
2024-08-02,11704.96,11764.24,11638.23,11680.74,46041
2024-08-05,11680.74,11782.92,11567.41,11676.4,91361
2024-08-06,11676.4,11736.74,11450.7,11513.72,52533
2024-08-07,11513.72,11619.91,11476.41,11510.91,39398
2024-08-08,11510.91,11664.44,11479.41,11633.92,39862
2024-08-09,11633.92,11701.26,11574.75,11589.75,32997
2024-08-12,11589.75,11649.23,11576.23,11612.25,26977
2024-08-13,11612.25,11644.39,11555.91,11628.91,26981
2024-08-14,11628.91,11636.84,11536.82,11545.34,22092
2024-08-15,11545.34,11755.39,11494.36,11706.38,40582
2024-08-16,11706.38,11791,11667.98,11787.5,30880
2024-08-19,11787.5,11920.92,11756.39,11827.39,30813
2024-08-20,11827.39,11839.32,11722.31,11745.8,29815
2024-08-21,11745.8,11782.39,11637.4,11768.4,34664
2024-08-22,11768.4,11811.41,11724.39,11772.39,37537
2024-08-23,11772.39,11903.84,11760.83,11887.84,36139
2024-08-26,11887.84,11898.43,11750.41,11780.44,35444
2024-08-27,11780.44,11827.1,11751.05,11808.6,31392
2024-08-28,11808.6,11808.6,11621.13,11666.65,33979
2024-08-29,11666.65,11666.65,11537.99,11554,33504
2024-08-30,11554,11859.62,11545.56,11680.1,47871
2024-09-02,11680.1,11688.23,11519.2,11527.69,33104
2024-09-03,11527.69,11589.15,11494.62,11525.13,39269
2024-09-04,11525.13,11535.18,11418.67,11465.2,37730
2024-09-05,11465.2,11517.33,11420.32,11465.83,29750
2024-09-06,11465.83,11553.82,11338.29,11343.8,23531
2024-09-09,11343.8,11380.32,11215.28,11254.8,33954
2024-09-10,11254.8,11316.52,11234.49,11248.99,31686
2024-09-11,11248.99,11264.45,11190.93,11246.43,32678
2024-09-12,11246.43,11260.52,11154.49,11185.49,26072
2024-09-13,11185.49,11232.18,11102.68,11127.16,27615
2024-09-16,11127.16,11180.61,11104.59,11165.11,9629
2024-09-17,11165.11,11228.07,11148.55,11202.55,8586
2024-09-18,11202.55,11218.53,11119.53,11164.53,28142
2024-09-19,11164.53,11291.39,11051.87,11250.39,38583
2024-09-20,11250.39,11260.06,11147.03,11232.54,35486
2024-09-23,11232.54,11377.22,11219.19,11349.69,31220
2024-09-24,11349.69,12339.25,11349.69,12314.24,86958
2024-09-25,12314.24,12321.66,12086.15,12172.66,77581
2024-09-26,12172.66,13228.75,12103.63,13053.25,125652
2024-09-27,13053.25,13577.12,12776.04,13335.09,230837
2024-09-30,13335.09,14192.24,13335.09,13708.19,325356
2024-10-01,13708.19,14092.97,13670.42,14039.94,64878
2024-10-02,14039.94,15187.87,14011.23,15095.35,199390
2024-10-03,15095.35,15230.57,14536.49,14920.53,149383
2024-10-04,14920.53,15554.35,14823.29,15554.35,176385
2024-10-07,15554.35,16341.67,15554.35,16186.15,178090
2024-10-08,16186.15,16186.15,14002.07,14501.6,503659
2024-10-09,14501.6,14697.82,13292.17,13676.21,401006
2024-10-10,13676.21,14217.81,13561.23,13971.78,348445
2024-10-11,13971.78,14016.72,13394.65,13869.71,179539
2024-10-14,13869.71,14071.75,13556.19,13777.2,219636
2024-10-15,13777.2,13845.45,13204.38,13234.4,191903
2024-10-16,13234.4,13497.11,13234.4,13358.58,140370
2024-10-17,13358.58,13520.89,12926.33,13019.34,135960
2024-10-18,13019.34,13776.5,13019.34,13592.95,213907
2024-10-21,13592.95,13666.52,13394.97,13454.49,139859
2024-10-22,13454.49,13681.72,13439.67,13616.71,111693
2024-10-23,13616.71,13754.97,13519.42,13543.44,111873
2024-10-24,13543.44,13608.08,13397.56,13453.56,83169
2024-10-25,13453.56,13659.83,13432.29,13492.8,101922
2024-10-28,13492.8,13574.89,13346.35,13563.88,74935
2024-10-29,13563.88,13657.06,13403.01,13443.52,89306
2024-10-30,13443.52,13466.92,13186.87,13285.88,83749
2024-10-31,13285.88,13335.45,13102.94,13204.44,97918
2024-11-01,13204.44,13447.32,13198.79,13310.81,100934
2024-11-04,13310.81,13517.52,13254,13445.01,76399
2024-11-05,13445.01,13806.39,13360,13756.87,96475
2024-11-06,13756.87,13807.55,13390.99,13531,136382
2024-11-07,13531,14337.41,13457.81,14283.4,138092
2024-11-08,14283.4,14283.4,13338.09,13513.61,171909
2024-11-11,13513.61,13727.01,13487.99,13656.51,106587
2024-11-12,13656.51,13946.84,13428.28,13455.8,113054
2024-11-13,13455.8,13733.69,13455.8,13600.67,95743
2024-11-14,13600.67,13741.24,13428.7,13444.7,83275
2024-11-15,13444.7,13550.07,13278.5,13305.54,89413
2024-11-18,13305.54,13613.25,13305.54,13429.21,91862
2024-11-19,13429.21,13455.84,13221.3,13359.83,79326
2024-11-20,13359.83,13469,13329.96,13383.48,57489
2024-11-21,13383.48,13457.14,13355.61,13430.11,59310
2024-11-22,13430.11,13457.27,12983.21,13064.74,81977
2024-11-25,13064.74,13202.34,12922,12967.8,87388
2024-11-26,12967.8,13091.95,12853.44,12994.94,68795
2024-11-27,12994.94,13273.1,12965.05,13259.6,49877
2024-11-28,13259.6,13259.6,13004.67,13079.19,53127
2024-11-29,13079.19,13368.67,13062.62,13229.65,86917
2024-12-02,13229.65,13273.81,13107.79,13266.79,71045
2024-12-03,13266.79,13359.51,13163.97,13327.49,70686
2024-12-04,13327.49,13362.4,13207.36,13237.86,54782
2024-12-05,13237.86,13292.55,13184.5,13251.04,41775
2024-12-06,13251.04,13527.9,13236.81,13384.85,65008
2024-12-09,13384.85,14375.5,13322.39,14169.98,150529
2024-12-10,14169.98,14203.06,13482.49,13565.01,129092
2024-12-11,13565.01,13613.79,13437.76,13469.27,62341
2024-12-12,13469.27,13740.61,13400.09,13540.6,98401
2024-12-13,13540.6,13578.47,13249.9,13278.9,83826
2024-12-16,13278.9,13385.35,13258.32,13279.8,59736
2024-12-17,13279.8,13544.5,13273.96,13459.99,67529
2024-12-18,13459.99,13564.54,13371.5,13374,52596
2024-12-19,13374,13476.64,13335.1,13391.15,55556
2024-12-20,13391.15,13408.21,13218.19,13302.71,51083
2024-12-23,13302.71,13510.73,13280.69,13433.7,68197
2024-12-24,13433.7,13615.04,13399.51,13610.02,39119
2024-12-26,13610.02,13610.02,13549.51,13587.03,10386
2024-12-27,13587.03,13628.43,13463.4,13573.92,45279
2024-12-30,13573.92,13715.61,13553.58,13596.58,48220
2024-12-31,13596.58,13692.66,13424.63,13455.13,54887
2025-01-02,13455.13,13455.13,13033.87,13083.9,49538
2025-01-03,13083.9,13165.39,12978.37,13040.86,71613
2025-01-06,13040.86,13207.43,12838.91,12957.91,92033
2025-01-07,12957.91,13040.55,12873.03,12960.53,70841
2025-01-08,12960.53,13027.13,12818.6,12943.13,84746
2025-01-09,12943.13,12952.05,12843.52,12881.55,45760
2025-01-10,12881.55,12917.75,12671.73,12678.24,67403
2025-01-13,12678.24,12752.22,12598.2,12692.21,70528
2025-01-14,12692.21,13023.87,12692.21,12954.36,74708
2025-01-15,12954.36,13013.22,12900.2,12973.7,52388
